productid,productname,category,unitprice,quantityonhand,channelavailability
2049,Office-Easy,Home,939.84,896,"In-Store, Drive-Up"
2050,Electronics-Young,Home,186.78,512,In-Store Only
2051,Home-Century,Electronics,117.32,47,Online Only
2052,Office-Year,Home,731.26,648,In-Store Only
2053,Home-Ground,Office,610.15,441,"In-Store, Drive-Up"
2054,Electronics-Above,Office,900.51,899,"Online, Drive-Up"
2055,Clothing-Politics,Home,53.94,616,In-Store Only
2056,Office-About,Electronics,524.72,128,
2057,Clothing-Identify,Home,436.98,50,
2058,Home-Wear,Home,666.75,336,"In-Store, Online, Drive-up"
2059,Electronics-Clear,Home,512.05,360,Drive-Up Only
2060,Office-Term,Home,408.38,253,"In-Store, Drive-Up"
2061,Home-Quite,Clothing,199.92,746,In-Store Only
2062,Office-Receive,Clothing,619.36,921,
2063,Home-Good,Office,552.46,872,"In-Store, Online, Drive-up"
2064,Electronics-Stop,Home,294.04,730,
2065,Office-Animal,Home,470.34,629,Online Only
2066,Office-Occur,Clothing,516.06,816,"In-Store, Drive-Up"
2067,Clothing-Remain,Electronics,290.95,3,In-Store Only
2068,Home-Read,Electronics,820.24,42,Online Only
2069,Clothing-Garden,Home,232.39,272,"Online, Drive-Up"
2070,Clothing-About,Clothing,34.18,338,Drive-Up Only
2071,Clothing-Success,Office,615.16,495,"In-Store, Online"
2072,Electronics-Become,Office,420.3,630,"Online, Drive-Up"
2073,Clothing-Executive,Office,499.43,286,
2074,Clothing-Strong,Clothing,659.5,488,"In-Store, Drive-Up"
2075,Electronics-Letter,Electronics,780.64,481,"In-Store, Drive-Up"
2076,Clothing-Affect,Clothing,806.07,928,"Online, Drive-Up"
2077,Office-Ball,Electronics,561.83,970,"In-Store, Online"
2078,Electronics-Film,Office,142.01,24,Online Only
2079,Office-Who,Home,950.54,572,Online Only
2080,Office-Doctor,Office,832.26,708,"In-Store, Drive-Up"
2081,Office-Light,Clothing,746.22,524,In-Store Only
2082,Office-Figure,Office,266.6,888,"In-Store, Online, Drive-up"
2083,Clothing-Cut,Home,768.16,876,"Online, Drive-Up"
2084,Office-Stuff,Clothing,281.85,875,"In-Store, Online"
2085,Electronics-Officer,Home,242.15,588,"Online, Drive-Up"
2086,Home-Of,Home,894.1,549,Drive-Up Only
2087,Electronics-Rather,Clothing,159.32,586,"In-Store, Online, Drive-up"
2088,Office-Evening,Clothing,709.35,909,"Online, Drive-Up"
2089,Electronics-Action,Office,413.52,969,Drive-Up Only
2090,Office-Staff,Office,71.64,291,Online Only
2091,Office-Mrs,Office,905.79,877,"In-Store, Drive-Up"
2092,Electronics-Add,Office,482.21,452,
2093,Home-Real,Home,755.94,978,Online Only
2094,Office-Fight,Clothing,493.35,69,"Online, Drive-Up"
2095,Home-Seem,Office,490.79,967,
2096,Office-Discuss,Home,672.18,583,Drive-Up Only
2097,Office-Recent,Clothing,842.1,485,"In-Store, Drive-Up"
2098,Clothing-Trouble,Electronics,907.86,346,"In-Store, Online, Drive-up"
2099,Electronics-Several,Electronics,646.32,597,"In-Store, Drive-Up"
